id,name,link,hometown,genre,image,description,similar1,similar2,similar3,event1_venue,event1_date,event1_start,event1_end,event2_venue,event2_date,event2_start,event2_end,shawn
bd011,Bastardous,https://www.facebook.com/Bastardous-329322653860353/?fref=nf,"Ferndale, MI",Punk,bd011.jpg,,,,,,,,,,,,,
bd012,Behind Deadlines,https://behinddeadlines.bandcamp.com/,"Philadelphia, Pennsylvania",Ska,bd012.jpg,,,,,,,,,,,,,
bd013,Belvedere,http://belvedereband.com/,"Calgary, Alberta",Punk,bd013.jpg,,,,,,,,,,,,,x
bd014,Better Things,http://betterthingsband.com/,"Burlington, Vermont",Punk,bd014.jpg,"Better Things is an alternative-punk band from the city of Burlington, Vermont. Over the course of five years they have continued to evolve their music into what you hear today, an eclectic blend of punk music that gets any crowd singing along.",,,,,,,,,,,,
bd015,Big D And The Kids Table,http://www.bigdandthekidstable.com/,"Boston, MA",Ska,bd015.jpg,"Big D and the Kids Table front man David McWane has said, “There are people who want to be in a band and then there are musicians.” Once in a while a group comes along that makes music simply because they have no other choice – they are addicted musicians. For the past fifteen years Boston’s Big D And The Kids Table has proven just that, regardless of the band’s poverty. McWane describes the group as – “We’re modern American gypsies,” And you can feel that sense in their wildest record yet – For The Damned The Dumb & The Delirious",,,,Le Jardin des bières,5/20/2016,21:00,21:45,,,,,x
bd016,Bike Tuff,https://bikingtuff.bandcamp.com/,"Kalamazoo, MI",Punk,bd016.jpg,"Hailing from the ""farm belt"" that rolls across Southern Michigan, we don't have an elaborate agenda for Bike Tuff. We have beards because we can't always afford razors, we play fast because half the dudes are from Jersey, and we love playing in basements because there's no stage for us to fall off of.",,,,TRH Bar,5/20/2016,20:30,21:00,,,,,
bd017,Blossom,https://blossomband.bandcamp.com/releases,"Rimouski, Québec",Punk,bd017.jpg,,,,,Katacombes,5/20/2016,20:00,20:30,,,,,
bd018,Blurry Eyes,#,,,,,,,,,,,,,,,,
bd019,BOIDS,https://www.facebook.com/boidsmtl,"Montréal, PQ",Punk,bd019.jpg,"How do you define this made-up word? You define it as BOIDS; Montréal’s unstoppable punkrock juggernaut, channeling heartache, cosmic frustration and inspiration into a sweaty mess of pop-punk, thrash and old-school HC.",,,,,,,,,,,,
bd020,Bong Mountain,https://bngmtn.bandcamp.com/,"Grand Rapids, Michigan",Punk,bd020.jpg,"Somewhere there exists a dreary village at the base of a mighty mountain. The village is populated by people or elves or some shit, all of whom are totally miserable all the time, their lives are super boring. The mountain, for reasons no one knows, they call Bong Mountain.",,,,,,,,,,,,
bd021,Bottle Kids,https://www.facebook.com/bottlekidschicago/,"Chicago, IL",Punk,bd021.jpg,"Midwest Punk-We are driven by our influence of being under the influence. Crappy jobs, no money and singing out of key.",,,,,,,,,,,,
bd022,Brand New Lungs,https://www.facebook.com/brandnewlungs/?fref=ts,"Montréal, PQ",Punk,bd022.jpg,Pop-punk/punk rock band from Montreal,,,,,,,,,,,,
bd023,Break Anchor,https://breakanchor.bandcamp.com/,"Detroit, MI",Punk,bd023.jpg,"When Jay Navarro, the singer/frontman of the Suicide Machines and Hellmouth, finally hit bottom and came out of a haze of booze, pills, anger and depression, he had a fresh outlook. He wrote a song so full of melody and so full of angst, he felt he had found himself again. “A Failure Of Epic Proportions” is a song about the Midwest American experience of growing into adulthood. ",,,,,,,,,,,,
bd024,Brendan Kelly,https://www.youtube.com/watch?v=KVHx-N1hk5k,"Chicago, IL",Punk,bd024.jpg,,,,,,,,,,,,,
bd025,Brutal Youth,https://brutalyouth.bandcamp.com/,"Toronto, Ontario",Punk,bd025.jpg,"Brutal Youth are like a loaded gun just, point us at whatever needs to die.",,,,Foufones,5/20/2016,21:15,21:45,,,,,x
bd026,Bucky Harris,https://buckyharris.bandcamp.com/,"Montréal, PQ",Punk,bd026.jpg,"Bucky Harris is a band from Montreal, Quebec, playing a mixture of punk, rock and folk to create their distinct sound. They have toured Quebec and Ontario, and have had the pleasure of playing such festivals as Pouzza Fest, Rockaganza and Buckfest.",,,,Theatre Ste. Catherine,5/20/2016,21:00,21:30,,,,,
bd027,Charles Landry,https://www.facebook.com/tonplusfort/,,,bd027.jpg,,,,,,,,,,,,,
bd028,Chuck Coles,https://chuckcoles.bandcamp.com/releases,"Toronto, Ontario",Punk,bd028.jpg,,,,,,,,,,,,,
bd029,City Mouse,https://citymouse.bandcamp.com/,"Riverside, California",Punk,bd029.jpg,,,,,,,,,,,,,
bd030,Colour Wheel,http://colourwheelsongs.bandcamp.com,"Montréal, PQ",Alt Rock,bd030.jpg,"With an inability to shake nostalgia, Colour Wheel make songs that sound both old and new while remaining undeniably catchy throughout.",,,,Katacombes,5/20/2016,19:15,19:45,,,,,
bd031,Comedy Acts,#,,,,,,,,,,,,,,,,
